x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
12.9492,96,0.0104167,106.678,106.678,0.919844,,
12.9634,103,0.00970874,106.669,106.669,0.920846,,
12.9776,84,0.0119048,106.661,106.661,0.921848,,
12.9917,112,0.00892857,106.652,106.652,0.922851,,
13.0059,108,0.00925926,106.643,106.643,0.923853,,
13.0201,103,0.00970874,106.635,106.635,0.924855,,
13.0342,102,0.00980392,106.626,106.626,0.925857,,
13.0484,106,0.00943396,106.617,106.617,0.926859,,
13.0626,102,0.00980392,106.609,106.609,0.927862,,
13.0767,115,0.00869565,106.6,106.6,0.928864,,
13.0909,85,0.0117647,106.591,106.591,0.929866,,
13.1051,110,0.00909091,106.582,106.582,0.930868,,
13.1192,110,0.00909091,106.574,106.574,0.93187,,
13.1334,105,0.00952381,106.565,106.565,0.932872,,
13.1476,99,0.010101,106.556,106.556,0.933874,,
13.1618,98,0.0102041,106.548,106.548,0.934876,,
13.1759,75,0.0133333,106.539,106.539,0.935878,,
13.1901,86,0.0116279,106.53,106.53,0.93688,,
13.2043,113,0.00884956,106.522,106.522,0.937882,,
13.2184,102,0.00980392,106.513,106.513,0.938885,,
13.2326,99,0.010101,106.504,106.504,0.939887,,
13.2468,94,0.0106383,106.495,106.495,0.940888,,
13.2609,109,0.00917431,106.487,106.487,0.94189,,
13.2751,95,0.0105263,106.478,106.478,0.942892,,
13.2893,103,0.00970874,106.469,106.469,0.943894,,
13.3035,85,0.0117647,106.461,106.461,0.944896,,
13.3176,92,0.0108696,106.452,106.452,0.945898,,
13.3318,86,0.0116279,106.443,106.443,0.9469,,
13.346,88,0.0113636,106.434,106.434,0.947902,,
13.3601,99,0.010101,106.426,106.426,0.948904,,
13.3743,114,0.00877193,106.417,106.417,0.949906,,
13.3885,86,0.0116279,106.408,106.408,0.950908,,
13.4026,98,0.0102041,106.399,106.399,0.951909,,
13.4168,91,0.010989,106.391,106.391,0.952911,,
13.431,113,0.00884956,106.382,106.382,0.953913,,
13.4452,98,0.0102041,106.373,106.373,0.954915,,
13.4593,90,0.0111111,106.364,106.364,0.955916,,
13.4735,88,0.0113636,106.355,106.355,0.956918,,
13.4877,104,0.00961538,106.347,106.347,0.95792,,
13.5018,101,0.00990099,106.338,106.338,0.958922,,
13.516,97,0.0103093,106.329,106.329,0.959923,,
13.5302,102,0.00980392,106.32,106.32,0.960925,,
13.5443,110,0.00909091,106.312,106.312,0.961927,,
13.5585,111,0.00900901,106.303,106.303,0.962928,,
13.5727,124,0.00806452,106.294,106.294,0.96393,,
13.5869,94,0.0106383,106.285,106.285,0.964932,,
13.601,106,0.00943396,106.276,106.276,0.965933,,
13.6152,120,0.00833333,106.268,106.268,0.966935,,
13.6294,101,0.00990099,106.259,106.259,0.967937,,
13.6435,125,0.008,106.25,106.25,0.968938,,
13.6577,104,0.00961538,106.241,106.241,0.96994,,
13.6719,108,0.00925926,106.232,106.232,0.970941,,
13.686,107,0.00934579,106.224,106.224,0.971943,,
13.7002,93,0.0107527,106.215,106.215,0.972944,,
13.7144,113,0.00884956,106.206,106.206,0.973946,,
13.7286,93,0.0107527,106.197,106.197,0.974947,,
13.7427,99,0.010101,106.188,106.188,0.975949,,
13.7569,105,0.00952381,106.179,106.179,0.97695,,
13.7711,110,0.00909091,106.171,106.171,0.977952,,
13.7852,121,0.00826446,106.162,106.162,0.978953,,
13.7994,97,0.0103093,106.153,106.153,0.979954,,
13.8136,125,0.008,106.144,106.144,0.980956,,
13.8277,105,0.00952381,106.135,106.135,0.981957,,
13.8419,106,0.00943396,106.126,106.126,0.982959,,
13.8561,87,0.0114943,106.117,106.117,0.98396,,
13.8703,93,0.0107527,106.109,106.109,0.984961,,
13.8844,102,0.00980392,106.1,106.1,0.985963,,
13.8986,100,0.01,106.091,106.091,0.986964,,
13.9128,113,0.00884956,106.082,106.082,0.987965,,
13.9269,113,0.00884956,106.073,106.073,0.988966,,
13.9411,102,0.00980392,106.064,106.064,0.989968,,
13.9553,115,0.00869565,106.055,106.055,0.990969,,
13.9695,87,0.0114943,106.046,106.046,0.99197,,
13.9836,102,0.00980392,106.038,106.038,0.992971,,
13.9978,112,0.00892857,106.029,106.029,0.993973,,
14.012,106,0.00943396,106.02,106.02,0.994974,,
14.0261,109,0.00917431,106.011,106.011,0.995975,,
14.0403,106,0.00943396,106.002,106.002,0.996976,,
14.0545,113,0.00884956,105.993,105.993,0.997977,,
