x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
13.4877,104,0.00961538,106.494,106.494,0.95792,,
13.5018,101,0.00990099,106.485,106.485,0.958922,,
13.516,97,0.0103093,106.476,106.476,0.959923,,
13.5302,102,0.00980392,106.467,106.467,0.960925,,
13.5443,110,0.00909091,106.458,106.458,0.961927,,
13.5585,111,0.00900901,106.449,106.449,0.962928,,
13.5727,124,0.00806452,106.439,106.439,0.96393,,
13.5869,94,0.0106383,106.43,106.43,0.964932,,
13.601,106,0.00943396,106.421,106.421,0.965933,,
13.6152,120,0.00833333,106.412,106.412,0.966935,,
13.6294,101,0.00990099,106.403,106.403,0.967937,,
13.6435,125,0.008,106.394,106.394,0.968938,,
13.6577,104,0.00961538,106.385,106.385,0.96994,,
13.6719,108,0.00925926,106.376,106.376,0.970941,,
13.686,107,0.00934579,106.366,106.366,0.971943,,
13.7002,93,0.0107527,106.357,106.357,0.972944,,
13.7144,113,0.00884956,106.348,106.348,0.973946,,
13.7286,93,0.0107527,106.339,106.339,0.974947,,
13.7427,99,0.010101,106.33,106.33,0.975949,,
13.7569,105,0.00952381,106.321,106.321,0.97695,,
13.7711,110,0.00909091,106.312,106.312,0.977952,,
13.7852,121,0.00826446,106.302,106.302,0.978953,,
13.7994,97,0.0103093,106.293,106.293,0.979954,,
13.8136,125,0.008,106.284,106.284,0.980956,,
13.8277,105,0.00952381,106.275,106.275,0.981957,,
13.8419,106,0.00943396,106.266,106.266,0.982959,,
13.8561,87,0.0114943,106.257,106.257,0.98396,,
13.8703,93,0.0107527,106.247,106.247,0.984961,,
13.8844,102,0.00980392,106.238,106.238,0.985963,,
13.8986,100,0.01,106.229,106.229,0.986964,,
13.9128,113,0.00884956,106.22,106.22,0.987965,,
13.9269,113,0.00884956,106.211,106.211,0.988966,,
13.9411,102,0.00980392,106.201,106.201,0.989968,,
13.9553,115,0.00869565,106.192,106.192,0.990969,,
13.9695,87,0.0114943,106.183,106.183,0.99197,,
13.9836,102,0.00980392,106.174,106.174,0.992971,,
13.9978,112,0.00892857,106.165,106.165,0.993973,,
14.012,106,0.00943396,106.155,106.155,0.994974,,
14.0261,109,0.00917431,106.146,106.146,0.995975,,
14.0403,106,0.00943396,106.137,106.137,0.996976,,
14.0545,113,0.00884956,106.128,106.128,0.997977,,
14.0686,112,0.00892857,106.119,106.119,0.998978,,
14.0828,106,0.00943396,106.109,106.109,0.999979,,
14.097,110,0.00909091,106.1,106.1,1.00098,,
14.1112,98,0.0102041,106.091,106.091,1.00198,,
14.1253,106,0.00943396,106.082,106.082,1.00298,,
14.1395,96,0.0104167,106.072,106.072,1.00398,,
14.1537,114,0.00877193,106.063,106.063,1.00498,,
14.1678,105,0.00952381,106.054,106.054,1.00599,,
14.182,110,0.00909091,106.045,106.045,1.00699,,
14.1962,117,0.00854701,106.035,106.035,1.00799,,
14.2103,90,0.0111111,106.026,106.026,1.00899,,
14.2245,125,0.008,106.017,106.017,1.00999,,
14.2387,105,0.00952381,106.008,106.008,1.01099,,
14.2529,98,0.0102041,105.998,105.998,1.01199,,
14.267,87,0.0114943,105.989,105.989,1.01299,,
14.2812,108,0.00925926,105.98,105.98,1.01399,,
14.2954,112,0.00892857,105.971,105.971,1.01499,,
14.3095,74,0.0135135,105.961,105.961,1.016,,
14.3237,111,0.00900901,105.952,105.952,1.017,,
14.3379,91,0.010989,105.943,105.943,1.018,,
14.352,99,0.010101,105.933,105.933,1.019,,
14.3662,98,0.0102041,105.924,105.924,1.02,,
14.3804,103,0.00970874,105.915,105.915,1.021,,
14.3946,120,0.00833333,105.906,105.906,1.022,,
14.4087,93,0.0107527,105.896,105.896,1.023,,
14.4229,111,0.00900901,105.887,105.887,1.024,,
14.4371,120,0.00833333,105.878,105.878,1.025,,
14.4512,93,0.0107527,105.868,105.868,1.026,,
14.4654,102,0.00980392,105.859,105.859,1.027,,
14.4796,115,0.00869565,105.85,105.85,1.028,,
14.4937,103,0.00970874,105.84,105.84,1.029,,
14.5079,93,0.0107527,105.831,105.831,1.03001,,
14.5221,125,0.008,105.822,105.822,1.03101,,
14.5363,98,0.0102041,105.813,105.813,1.03201,,
14.5504,105,0.00952381,105.803,105.803,1.03301,,
14.5646,98,0.0102041,105.794,105.794,1.03401,,
14.5788,92,0.0108696,105.785,105.785,1.03501,,
14.5929,94,0.0106383,105.775,105.775,1.03601,,
14.6071,103,0.00970874,105.766,105.766,1.03701,,
14.6213,102,0.00980392,105.756,105.756,1.03801,,
14.6354,96,0.0104167,105.747,105.747,1.03901,,
14.6496,113,0.00884956,105.738,105.738,1.04001,,
14.6638,114,0.00877193,105.728,105.728,1.04101,,
14.6779,106,0.00943396,105.719,105.719,1.04201,,
14.6921,107,0.00934579,105.71,105.71,1.04301,,
14.7063,102,0.00980392,105.7,105.7,1.04401,,
14.7205,109,0.00917431,105.691,105.691,1.04501,,
14.7346,113,0.00884956,105.682,105.682,1.04601,,
14.7488,132,0.00757576,105.672,105.672,1.04701,,
14.763,115,0.00869565,105.663,105.663,1.04801,,
14.7771,107,0.00934579,105.654,105.654,1.04901,,
14.7913,108,0.00925926,105.644,105.644,1.05002,,
14.8055,131,0.00763359,105.635,105.635,1.05102,,
14.8196,118,0.00847458,105.625,105.625,1.05202,,
14.8338,109,0.00917431,105.616,105.616,1.05302,,
14.848,105,0.00952381,105.607,105.607,1.05402,,
14.8622,114,0.00877193,105.597,105.597,1.05502,,
14.8763,115,0.00869565,105.588,105.588,1.05602,,
14.8905,125,0.008,105.578,105.578,1.05702,,
14.9047,104,0.00961538,105.569,105.569,1.05802,,
14.9188,122,0.00819672,105.56,105.56,1.05902,,
14.933,116,0.00862069,105.55,105.55,1.06002,,
14.9472,103,0.00970874,105.541,105.541,1.06102,,
14.9613,96,0.0104167,105.531,105.531,1.06202,,
14.9755,97,0.0103093,105.522,105.522,1.06302,,
14.9897,115,0.00869565,105.512,105.512,1.06402,,
15.0039,85,0.0117647,105.503,105.503,1.06502,,
15.018,111,0.00900901,105.494,105.494,1.06602,,
15.0322,102,0.00980392,105.484,105.484,1.06702,,
15.0464,114,0.00877193,105.475,105.475,1.06802,,
15.0605,114,0.00877193,105.465,105.465,1.06902,,
15.0747,112,0.00892857,105.456,105.456,1.07002,,
15.0889,101,0.00990099,105.446,105.446,1.07102,,
15.103,109,0.00917431,105.437,105.437,1.07202,,
15.1172,109,0.00917431,105.427,105.427,1.07302,,
15.1314,122,0.00819672,105.418,105.418,1.07402,,
15.1456,83,0.0120482,105.409,105.409,1.07502,,
15.1597,116,0.00862069,105.399,105.399,1.07602,,
15.1739,114,0.00877193,105.39,105.39,1.07702,,
15.1881,92,0.0108696,105.38,105.38,1.07802,,
15.2022,110,0.00909091,105.371,105.371,1.07902,,
15.2164,109,0.00917431,105.361,105.361,1.08002,,
15.2306,101,0.00990099,105.352,105.352,1.08102,,
15.2447,86,0.0116279,105.342,105.342,1.08202,,
15.2589,123,0.00813008,105.333,105.333,1.08302,,
15.2731,106,0.00943396,105.323,105.323,1.08402,,
15.2873,99,0.010101,105.314,105.314,1.08502,,
15.3014,107,0.00934579,105.304,105.304,1.08602,,
15.3156,114,0.00877193,105.295,105.295,1.08702,,
15.3298,95,0.0105263,105.285,105.285,1.08802,,
15.3439,123,0.00813008,105.276,105.276,1.08902,,
15.3581,103,0.00970874,105.266,105.266,1.09001,,
15.3723,101,0.00990099,105.257,105.257,1.09101,,
15.3864,100,0.01,105.247,105.247,1.09201,,
15.4006,105,0.00952381,105.238,105.238,1.09301,,
15.4148,107,0.00934579,105.228,105.228,1.09401,,
15.429,123,0.00813008,105.219,105.219,1.09501,,
